county,rate,num1,num2,num3
Lake,18.6,9.765,32.355,5.29
San Francisco,17.2375,14.645,20.165,1.3775
Mendocino,12.495,6.4325,22.2,3.6725
Mariposa,11.51,3.135,40.085,5.755
Lassen,9.72,2.6475,27.8825,4.86
Colusa,9.1825,3.965,30.7975,3.2475
Kern,5.4,4.0025,7.13,0.765
Humboldt,5.11,2.2675,10.35,1.825
Santa Cruz,5.065,2.775,8.49,1.35
Shasta,4.4325,1.9625,8.685,1.5425
Calaveras,4.3925,1.895,14.7275,1.5525
Sonoma,4.1725,2.63,6.3325,0.885
Nevada,3.9975,2.285,9.26,1.0
Ventura,3.86,2.6625,5.415,0.6675
San Diego,3.7425,3.1175,4.4575,0.335
Glenn,3.5475,0.9675,18.9025,1.775
Solano,3.5425,2.0275,5.745,0.885
San Benito,3.22,0.875,11.21,1.61
Riverside,3.055,2.4125,3.815,0.3475
Stanislaus,3.0525,1.81,4.86,0.725
Butte,3.0075,1.27,6.1425,1.105
California,2.89775,2.73225,3.07075,0.085
Contra Costa,2.8375,1.9625,3.975,0.4875
Sacramento,2.8225,2.06,3.7775,0.4175
Marin,2.6875,1.315,5.345,0.85
Orange,2.59,2.07,3.2025,0.28
Los Angeles,2.3725,2.085,2.6925,0.1525
Imperial,2.1725,0.765,5.42,0.93
El Dorado,2.09,0.735,5.215,0.89
Santa Clara,1.84,1.29,2.5475,0.3075
Tuolumne,1.8325,0.5,9.76,0.915
Merced,1.8,0.6025,4.1775,0.795
Yolo,1.7975,0.6325,4.485,0.7675
Placer,1.7625,0.7425,3.5925,0.645
San Luis Obispo,1.75,0.845,3.86,0.55
San Bernardino,1.7325,1.2275,2.375,0.2825
San Joaquin,1.7,1.005,2.825,0.4025
San Mateo,1.6775,0.9475,2.82,0.44
Yuba,1.27,0.345,6.76,0.635
Alameda,1.19,0.7275,1.835,0.2675
Fresno,1.095,0.5725,1.9375,0.315
Santa Barbara,0.89,0.3125,2.2225,0.3775
Monterey,0.455,0.1975,1.5275,0.16
Alpine,0.0,0.0,358.84,0.0
Amador,0.0,0.0,9.31,0.0
Del Norte,0.0,0.0,13.23,0.0
Inyo,0.0,0.0,20.49,0.0
Kings,0.0,0.0,2.42,0.0
Madera,0.0,0.0,2.31,0.0
Modoc,0.0,0.0,42.78,0.0
Mono,0.0,0.0,26.09,0.0
Napa,0.0,0.0,2.63,0.0
Plumas,0.0,0.0,19.69,0.0
Sierra,0.0,0.0,125.05,0.0
Siskiyou,0.0,0.0,8.45,0.0
Sutter,0.0,0.0,3.77,0.0
Tehama,0.0,0.0,5.75,0.0
Trinity,0.0,0.0,30.13,0.0
Tulare,0.0,0.0,0.78,0.0
Unknown,,0.0,,
