county,rate,num1,num2,num3
San Francisco,22.0825,19.18,25.3175,1.535
Mendocino,10.2225,4.815,19.2975,3.34
Sonoma,8.145,5.86,11.0325,1.265
Lassen,6.4825,2.7975,21.7425,2.2925
Lake,6.2,2.1825,15.4775,2.645
Kern,5.95,4.4725,7.76,0.805
Humboldt,5.84,2.52,11.51,2.06
Inyo,5.555,1.5125,29.59,2.7775
Riverside,5.3875,4.52,6.37,0.4625
Plumas,5.3375,1.455,28.435,2.67
Yuba,5.0775,2.3125,12.2425,1.735
Amador,5.05,1.375,17.585,2.525
San Benito,4.8275,1.8275,13.43,1.9425
San Mateo,4.6475,3.255,6.4275,0.7725
Colusa,4.5925,1.25,24.46,2.295
Ventura,4.445,3.1475,6.0975,0.72
Marin,4.2225,2.1925,7.485,1.235
San Diego,4.22,3.5575,4.975,0.3525
Contra Costa,4.2125,3.1275,5.56,0.5975
Los Angeles,4.0,3.62,4.405,0.195
Solano,3.985,2.3725,6.285,0.9325
Orange,3.9325,3.28,4.6725,0.3475
San Bernardino,3.375,2.65,4.235,0.3925
Santa Barbara,3.3375,1.92,5.4575,0.835
Alameda,3.3275,2.55,4.2825,0.425
Shasta,3.325,1.485,7.0125,1.15
Imperial,3.26,1.7125,6.67,0.9275
San Luis Obispo,2.8,1.4375,5.325,0.8275
Stanislaus,2.6975,1.57,4.3825,0.665
Sacramento,2.31,1.6325,3.18,0.375
Siskiyou,2.29,0.625,12.2025,1.145
Monterey,2.05,1.135,3.7225,0.555
Sutter,2.045,0.555,7.125,1.025
Madera,1.8825,0.51,5.3925,0.9375
San Joaquin,1.835,1.1225,2.97,0.4125
Tuolumne,1.8325,0.5,9.76,0.915
Santa Cruz,1.81,0.755,4.0825,0.6725
Placer,1.51,0.71,3.15,0.5025
Fresno,1.4925,0.87,2.4325,0.3675
Merced,1.44,0.505,3.59,0.615
Napa,1.43,0.39,4.97,0.715
Santa Clara,1.2775,0.8425,1.8725,0.2475
Tulare,1.275,0.57,2.69,0.44
El Dorado,1.045,0.285,3.64,0.52
Yolo,0.9,0.245,3.13,0.45
Butte,0.86,0.235,2.99,0.43
Alpine,0.0,0.0,358.84,0.0
Calaveras,0.0,0.0,8.1,0.0
Del Norte,0.0,0.0,13.23,0.0
Glenn,0.0,0.0,13.09,0.0
Kings,0.0,0.0,2.42,0.0
Mariposa,0.0,0.0,21.23,0.0
Modoc,0.0,0.0,42.78,0.0
Mono,0.0,0.0,26.09,0.0
Nevada,0.0,0.0,3.69,0.0
Sierra,0.0,0.0,125.05,0.0
Tehama,0.0,0.0,5.75,0.0
Trinity,0.0,0.0,30.13,0.0
