region,deaths2019,population2019,rate2019
Census Region 1: Northeast,13431,55982803,24.0
Census Region 2: Midwest,12506,68329004,18.3
Census Region 3: South,19566,125580448,15.6
Census Region 4: West,8481,78347268,10.8
