region,deaths2018,population2018,rate2018
Census Region 1: Northeast,13309,56111079,23.7
Census Region 2: Midwest,12080,68308744,17.7
Census Region 3: South,18295,124753948,14.7
Census Region 4: West,7192,77993663,9.2
