California Deaths by County -Total Population - 2017 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,1.14,0.718,1.76,19
Alpine,0,0,329.36,0
Amador,5.18,1.41,18.03,2
Butte,4.795,2.505,8.488,11
Calaveras,2.19,0.598,11.668,1
California,2.945,2.78,3.12,1165
Colusa,0,0,16.92,0
Contra Costa,2.44,1.628,3.52,28
Del Norte,10.92,4.135,30.38,3
El Dorado,1.058,0.458,3.547,2
Fresno,3.238,2.22,4.558,32
Glenn,0,0,13.13,0
Humboldt,14.622,8.947,22.572,20
Imperial,0,0,2.02,0
Inyo,5.548,1.512,29.55,1
Kern,4.48,3.235,6.065,40
Kings,3.33,1.705,7.262,5
Lake,10.895,4.46,22.39,7
Lassen,12.837,5.85,30.95,4
Los Angeles,2.292,2.008,2.607,233
Madera,2.55,0.69,6.53,4
Marin,2.683,1.135,5.478,7
Mariposa,5.692,1.55,30.322,1
Mendocino,11.36,5.648,20.723,10
Merced,4.4,2.395,7.582,12
Modoc,33.862,12.823,94.205,3
Mono,0,0,26.04,0
Monterey,0.455,0.125,1.59,2
Napa,0,0,2.62,0
Nevada,3.007,0.818,8.62,3
Orange,4.607,3.893,5.415,147
Placer,2.59,1.325,4.69,10
Plumas,5.335,1.455,28.422,1
Riverside,1.692,1.218,2.292,41
Sacramento,2.155,1.49,3.025,33
San Benito,1.658,0.452,8.835,1
San Bernardino,0.972,0.602,1.485,21
San Diego,4.643,3.942,5.435,155
San Francisco,5.992,4.54,7.79,53
San Joaquin,6.44,4.772,8.515,48
San Luis Obispo,2.115,0.948,4.468,6
San Mateo,4.018,2.757,5.683,31
Santa Barbara,2.458,1.24,4.38,11
Santa Clara,1.96,1.393,2.683,38
Santa Cruz,2.537,1.075,5.183,7
Shasta,8.338,4.75,13.675,15
Sierra,0,0,123,0
Siskiyou,6.84,2.593,19.03,3
Solano,1.572,0.662,3.212,7
Sonoma,1.98,1.015,3.59,10
Stanislaus,1.825,0.908,3.33,10
Sutter,1.035,0.282,5.515,1
Tehama,0,0,5.77,0
Trinity,7.867,2.145,41.92,1
Tulare,0.86,0.3,2.145,4
Tuolumne,7.373,2.598,18.405,4
Unknown,NaN,0,NaN,0
Ventura,5.385,3.947,7.18,46
Yolo,2.737,1.185,5.812,6
Yuba,6.492,3.133,14.312,5
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
