county,rate,num1,num2,num3
San Francisco,86.14,62.71,115.83,12.9725
Lassen,57.67,15.7125,307.2125,28.835
Del Norte,49.505,13.4875,263.7175,24.7525
Yuba,46.84,12.76,163.12,23.42
Kern,43.445,27.23,66.45,9.36
Lake,37.745,10.285,131.44,18.87
Butte,37.215,12.51,86.505,16.43
Imperial,33.1875,12.5675,92.32,13.3525
San Luis Obispo,30.7525,12.1375,66.2275,12.1275
Siskiyou,26.315,7.17,140.19,13.1575
Riverside,22.3075,15.19,31.63,3.99
Merced,21.905,8.295,60.9325,8.8125
Ventura,21.8575,11.7975,37.7425,6.0575
Tuolumne,21.84,5.95,116.335,10.92
Marin,21.1475,9.635,50.9875,7.22
San Diego,19.76,14.1075,27.005,3.145
San Joaquin,19.4125,8.9625,37.7475,6.5675
California,16.315,14.715,18.04,0.8375
Contra Costa,16.3,8.73,28.2125,4.555
Shasta,15.73,4.285,54.775,7.865
Orange,14.7825,9.9275,21.21,2.73
Sonoma,14.225,6.8675,31.3725,4.4775
Fresno,13.96,5.8975,28.515,5.1325
Los Angeles,13.7525,10.92,17.105,1.5325
Stanislaus,13.2625,4.6675,33.105,5.66
El Dorado,11.8725,5.125,39.8175,4.1975
Santa Cruz,11.14,3.035,38.805,5.57
Nevada,11.135,3.035,59.3225,5.5675
Santa Clara,11.0625,5.9675,19.0975,3.065
Napa,10.7225,2.9225,57.1175,5.3625
San Bernardino,10.1,5.2625,17.605,2.8975
Alameda,9.2175,4.7625,17.0475,2.6625
Tulare,9.035,2.46,31.46,4.515
Santa Barbara,8.07,2.2,28.11,4.035
Placer,7.405,2.02,25.795,3.705
Solano,6.785,1.85,23.625,3.39
Sacramento,6.57,2.485,14.245,2.645
San Mateo,6.3125,2.39,17.56,2.54
Alpine,0.0,0.0,3264.5,0.0
Amador,0.0,0.0,115.17,0.0
Calaveras,0.0,0.0,85.19,0.0
Colusa,0.0,0.0,296.53,0.0
Glenn,0.0,0.0,208.77,0.0
Humboldt,0.0,0.0,41.7,0.0
Inyo,0.0,0.0,239.07,0.0
Kings,0.0,0.0,54.61,0.0
Madera,0.0,0.0,42.34,0.0
Mariposa,0.0,0.0,221.42,0.0
Mendocino,0.0,0.0,59.28,0.0
Modoc,0.0,0.0,520.29,0.0
Mono,0.0,0.0,292.54,0.0
Monterey,0.0,0.0,15.42,0.0
Plumas,0.0,0.0,198.33,0.0
San Benito,0.0,0.0,99.43,0.0
Sierra,0.0,0.0,1272.03,0.0
Sutter,0.0,0.0,64.63,0.0
Tehama,0.0,0.0,82.01,0.0
Trinity,0.0,0.0,314.75,0.0
Yolo,0.0,0.0,33.13,0.0
Unknown,,0.0,,
