county,rate,num1,num2,num3
Mendocino,60.12,16.38,172.4125,30.06
Amador,49.1875,13.4025,262.03,24.595
Yuba,48.31,13.165,168.24,24.155
San Benito,27.0775,7.3775,144.2475,13.54
Madera,21.63,5.895,75.335,10.815
Nevada,20.3175,5.535,108.2325,10.1575
El Dorado,19.56,5.33,68.11,9.78
Imperial,19.38,5.28,67.485,9.69
Santa Cruz,19.25,7.2875,53.5475,7.745
Merced,19.0425,5.19,54.6125,9.525
Butte,17.75,7.6625,59.5325,6.275
Solano,11.7525,4.45,32.69,4.7275
Ventura,11.545,5.965,23.715,3.33
Shasta,11.28,3.0725,60.0875,5.64
San Francisco,11.2175,5.4825,22.3025,3.535
San Diego,9.6825,5.925,14.9475,2.1625
Fresno,8.83,4.2625,19.465,2.7775
Santa Barbara,8.3825,3.6175,28.11,2.9625
Orange,8.135,4.7625,13.005,1.9625
San Luis Obispo,7.03,1.915,37.4475,3.515
Marin,5.7825,1.575,30.8,2.89
Kern,5.6775,2.15,15.7925,2.285
California,5.5775,4.6975,6.5825,0.4675
Contra Costa,5.29,2.285,12.865,1.87
San Joaquin,4.405,1.2,15.35,2.205
Sacramento,4.27,1.5025,10.655,1.82
Placer,4.2075,1.1475,22.415,2.105
San Mateo,3.755,1.025,13.085,1.88
Tulare,3.71,1.01,19.7575,1.855
Los Angeles,3.54,2.28,5.2525,0.715
Alameda,3.43,1.5625,8.2675,1.17
Riverside,3.3875,1.355,7.6925,1.2925
Santa Clara,2.1825,1.1275,5.8225,0.63
San Bernardino,1.51,0.41,5.255,0.755
Alpine,0.0,0.0,8578.79,0.0
Calaveras,0.0,0.0,190.44,0.0
Colusa,0.0,0.0,309.73,0.0
Del Norte,0.0,0.0,232.74,0.0
Glenn,0.0,0.0,241.1,0.0
Humboldt,0.0,0.0,47.13,0.0
Inyo,0.0,0.0,405.82,0.0
Kings,0.0,0.0,38.83,0.0
Lake,0.0,0.0,120.99,0.0
Lassen,0.0,0.0,170.54,0.0
Mariposa,0.0,0.0,472.33,0.0
Modoc,0.0,0.0,825.25,0.0
Mono,0.0,0.0,417.29,0.0
Monterey,0.0,0.0,13.72,0.0
Napa,0.0,0.0,41.87,0.0
Plumas,0.0,0.0,458.25,0.0
Sierra,0.0,0.0,2561.72,0.0
Siskiyou,0.0,0.0,181.99,0.0
Sonoma,0.0,0.0,12.61,0.0
Stanislaus,0.0,0.0,11.37,0.0
Sutter,0.0,0.0,65.71,0.0
Tehama,0.0,0.0,108.72,0.0
Trinity,0.0,0.0,557.23,0.0
Tuolumne,0.0,0.0,137.34,0.0
Yolo,0.0,0.0,31.32,0.0
Unknown,,0.0,,
