county,rate,num1,num2,num3
Plumas,116.415,31.72,620.1475,58.2075
Lassen,46.86,12.7675,249.625,23.43
Santa Cruz,31.865,13.355,71.9125,11.895
Lake,31.0375,8.4575,165.3325,15.5175
San Francisco,26.3075,15.3125,42.475,6.44
Sonoma,23.6675,11.57,47.0625,7.46
Imperial,19.605,8.4625,65.7475,6.93
Ventura,19.4525,9.6725,35.48,5.9775
Sutter,17.85,4.8625,95.0925,8.925
Kern,13.1025,7.1825,25.425,3.4925
Santa Barbara,12.6225,3.4425,36.1975,6.3075
Humboldt,11.9425,3.255,63.625,5.9725
Sacramento,11.545,5.99,20.4575,3.3675
San Diego,11.03,7.0225,16.5225,2.285
Shasta,10.935,2.98,58.255,5.4675
Butte,8.5575,2.3325,45.59,4.28
Yolo,8.25,2.2475,43.945,4.125
California,7.72,6.6725,8.885,0.555
Solano,7.605,2.07,26.485,3.8
San Luis Obispo,6.8475,1.865,36.475,3.4225
Orange,6.4375,3.5475,10.905,1.7275
Merced,6.2775,1.71,33.4325,3.1375
Marin,6.185,1.685,32.94,3.0925
Los Angeles,6.1825,4.465,8.3625,0.95
San Bernardino,5.985,2.73,11.675,2.045
Riverside,5.2925,2.35,10.3775,1.8375
Contra Costa,5.23,1.8375,13.0525,2.23
Santa Clara,4.48,1.695,9.71,1.8
San Joaquin,4.295,1.17,14.95,2.145
Alameda,4.2725,1.79,9.64,1.595
Placer,3.9925,1.0875,21.2725,1.9975
Tulare,3.615,0.985,19.2525,1.8075
San Mateo,1.895,0.5175,10.0975,0.9475
Alpine,0.0,0.0,7848.68,0.0
Amador,0.0,0.0,162.79,0.0
Calaveras,0.0,0.0,184.72,0.0
Colusa,0.0,0.0,301.87,0.0
Del Norte,0.0,0.0,225.76,0.0
El Dorado,0.0,0.0,35.08,0.0
Fresno,0.0,0.0,6.3,0.0
Glenn,0.0,0.0,242.53,0.0
Inyo,0.0,0.0,403.16,0.0
Kings,0.0,0.0,38.09,0.0
Madera,0.0,0.0,39.23,0.0
Mariposa,0.0,0.0,474.76,0.0
Mendocino,0.0,0.0,72.62,0.0
Modoc,0.0,0.0,846.07,0.0
Mono,0.0,0.0,423.52,0.0
Monterey,0.0,0.0,13.64,0.0
Napa,0.0,0.0,42.52,0.0
Nevada,0.0,0.0,70.17,0.0
San Benito,0.0,0.0,93.29,0.0
Sierra,0.0,0.0,2544.05,0.0
Siskiyou,0.0,0.0,181.81,0.0
Stanislaus,0.0,0.0,11.11,0.0
Tehama,0.0,0.0,107.93,0.0
Trinity,0.0,0.0,572.81,0.0
Tuolumne,0.0,0.0,130.58,0.0
Yuba,0.0,0.0,84.07,0.0
Unknown,,0.0,,
