year,rate,num1,num2,num3
2021,8.79,7.71,10.01,224
2020,9.87,8.68,11.16,250
2019,3.20,2.56,3.95,81
2018,1.38,0.96,1.90,35
2017,0.39,0.19,0.71,10
2016,0.39,0.21,0.69,10
2015,0.23,0.09,0.50,6
