year,rate,num1,num2,num3
2021,7.89,6.71,9.22,158
2020,4.32,3.46,5.33,84
2019,1.96,1.39,2.69,37
2018,1.24,0.80,1.85,23
2017,0.82,0.47,1.34,15
2016,0.22,0.10,0.53,0.0
2015,0.23,0.008,0.57, 0.0
