year,rate
2022.00,15.62
2021.75,17.18
2021.50,18.64
2021.25,18.63
2021.00,17.38
2020.75,14.40
2020.50,16.23
2020.25,14.05
2020.00,10.81
2019.75,8.93
2019.50,8.92
2019.25,7.73
2019.00,7.26
