year,county,zipcode,rate,num1,num2,num3
2019,Alameda:,94610,21.5274386250997,6.13179479569356,63.4056694910769,10.4829143784445
2019,Alameda:,94621,20.8123674254216,7.28198428986321,54.4736774660575,8.81716428972581
2019,Alameda:,94608,16.5252106657116,5.82439315055173,54.5873571619826,6.96220217374358
2019,Alameda:,94606,14.8994289668135,5.28607694066396,36.6397396777798,6.24572851335753
2019,Alameda:,94605,14.599117540233,5.72731443717662,32.6436848370216,5.6384026967411
2019,Alameda:,94601,14.1531312861958,5.65526827504969,33.230132653647,5.37886867357463
2019,Alameda:,94607,12.2812415469999,3.025434471165,43.5212311054189,6.49493921194413
2019,Alameda:,94555,11.1360689514623,2.03937499741426,37.652565701802,6.77278219632551
2019,Alameda:,94703,10.680397937369,1.11460932487954,47.8017486778165,7.90241639074022
2019,Alameda:,94502,9.42024796700809,0.23850002919311,63.0521207032473,9.42024796700808
2019,Alameda:,94618,9.19001050203562,1.03584485952134,58.6744982684107,6.64526888298789
2019,Alameda:,94544,8.88115014380073,3.5479313586658,19.2392960021707,3.37591552351803
2019,Alameda:,California,7.9045,7.63075,8.18625,0.1425
2019,Alameda:,94603,7.58501206629189,0.90762555571989,34.3684341638918,5.38384922623996
2019,Alameda:,94541,6.32150893246116,2.04811759066351,16.8862514358114,2.83133733425509
2019,Alameda:,94602,6.29214538808696,0.76193785895723,26.889210799973,4.44934895744947
2019,Alameda:,94577,5.96475244482739,1.16275075628983,19.6941940396031,3.5318108622147
2019,Alameda:,Alameda,5.745,4.6875,6.9975,0.5675
2019,Alameda:,94501,5.52894921184516,1.49677019713962,17.836353911477,2.77485268551234
2019,Alameda:,94580,5.3780757584293,0.61110117298863,26.7500445968683,3.87928249680034
2019,Alameda:,94538,5.01357420413078,1.3301489433435,15.319563627502,2.54549532164577
2019,Alameda:,94706,4.84282919347178,0.12260981962103,42.2881364512567,4.84282919347178
2019,Alameda:,94546,4.63509337412349,0.40821326672686,20.1362214351618,3.59559910946112
2019,Alameda:,94568,4.55443307251059,0.47330498306705,20.5238325624475,3.37395873110954
2019,Alameda:,94702,4.37933218105783,0.11087509125944,49.8827987750925,4.37933218105783
2019,Alameda:,94619,4.21683211608131,0.10676094581693,28.6402678642067,4.21683211608131
2019,Alameda:,94536,4.16759903844432,0.76685324695876,14.0999786389746,2.52962679379054
2019,Alameda:,94545,3.91651416591235,0.09915755362032,23.5534086634872,3.91651416591235
2019,Alameda:,94587,2.92802704659541,0.35433345796365,11.9227177234535,2.07091866063068
2019,Alameda:,94579,1.85908310479152,0.04706790907395,28.8095429459682,1.85908310479152
2019,Alameda:,94560,1.72873887210982,0.04376787881905,13.3474598293449,1.72873887210982
2019,Alameda:,94609,1.63615291141798,0.04142380524422,44.6045452532773,1.63615291141798
2019,Alameda:,94551,1.45587934767569,0.03685967377275,18.9266281025216,1.45587934767569
2019,Alameda:,94566,1.3383199882239,0.03388332848339,19.612271429793,1.3383199882239
2019,Alameda:,94539,0.0,0.0,12.6207610094356,0.0
2019,Alameda:,94542,0.0,0.0,57.8849826123396,0.0
2019,Alameda:,94550,0.0,0.0,10.8448802677192,0.0
2019,Alameda:,94552,0.0,0.0,44.1172680278646,0.0
2019,Alameda:,94578,0.0,0.0,14.9594963871552,0.0
2019,Alameda:,94586,0.0,0.0,0.0,0.0
2019,Alameda:,94588,0.0,0.0,19.1870958582725,0.0
2019,Alameda:,94611,0.0,0.0,23.1365880303303,0.0
2019,Alameda:,94612,0.0,0.0,128.735087424702,0.0
2019,Alameda:,94613,0.0,0.0,0.0,0.0
2019,Alameda:,94704,0.0,0.0,245.064459097101,0.0
2019,Alameda:,94705,0.0,0.0,66.4134558596876,0.0
2019,Alameda:,94707,0.0,0.0,0.0,0.0
2019,Alameda:,94709,0.0,0.0,225.876893889008,0.0
2019,Alameda:,94710,0.0,0.0,196.582687447021,0.0
2019,Alameda:,94720,0.0,0.0,0.0,0.0
2019,Alameda:,95377,0.0,0.0,26.4959274385116,0.0
2019,Alameda:,95391,0.0,0.0,0.0,0.0
2019,Alpine:,California,7.9045,7.63075,8.18625,0.1425
2019,Alpine:,00044,0.0,,,
2019,Alpine:,96120,0.0,0,0,0
2019,Alpine:,Alpine,0.0,,1408.23,0
2019,Amador:,95685,23.2316977851854,2.81189362064567,203.409953719929,16.4302130009445
2019,Amador:,95669,17.3277219527937,0.438699937206,1051.91043053086,17.3277219527937
2019,Amador:,California,7.9045,7.63075,8.18625,0.1425
2019,Amador:,Amador,7.815,3.89333333333333,26.2775,3.18
2019,Amador:,95666,5.73929300813611,0.14530631834557,291.961062823445,5.73929300813611
2019,Amador:,95629,0.0,0,0,0
2019,Amador:,95640,0.0,0,81.3266570257851,0
2019,Amador:,95642,0.0,0,171.794394704532,0
2019,Amador:,95665,0.0,0,468.248162917676,0
2019,Amador:,95689,0.0,0,0,0
2019,Butte:,95966,17.7836195850803,3.63543728350015,54.2537785174702,10.3085403509362
2019,Butte:,California,7.9045,7.63075,8.18625,0.1425
2019,Butte:,95965,7.5022027700292,0.18993932919081,41.7995984811167,7.5022027700292
2019,Butte:,95926,7.3586426618369,0.89081316665536,29.1773827626139,5.20400116479635
2019,Butte:,95973,6.90219751267369,1.36176090018574,24.588264252727,4.06528591377005
2019,Butte:,95928,6.69175902868266,1.35618780400442,27.2614240697797,3.89423635873021
2019,Butte:,Butte,5.825,2.9375,10.66,1.7425
2019,Butte:,95914,0.0,0,6555.47428084746,0
2019,Butte:,95916,0.0,0,1279.96906537105,0
2019,Butte:,95917,0.0,0,249.471601515206,0
2019,Butte:,95938,0.0,0,0,0
2019,Butte:,95941,0.0,0,0,0
2019,Butte:,95942,0.0,0,0,0
2019,Butte:,95948,0.0,0,60.780427931835,0
2019,Butte:,95954,0.0,0,0,0
2019,Butte:,95968,0.0,0,0,0
2019,Butte:,95969,0.0,0,25.0486531803702,0
2019,Calveras:,95228,31.0657758425231,0.78651734766399,325.566097704461,31.0657758425231
2019,Calveras:,California,7.9045,7.63075,8.18625,0.1425
2019,Calveras:,Calaveras,7.7875,7.15,25.5525,2.6075
2019,Calveras:,95247,6.78182376055034,0.17170091175291,189.551967991411,6.78182376055034
2019,Calveras:,95252,3.26782300576601,0.08273411538663,53.9986527681876,3.26782300576601
2019,Calveras:,95222,0.0,0,0,0
2019,Calveras:,95223,0.0,0,498.864492315084,0
2019,Calveras:,95232,0.0,0,0,0
2019,Calveras:,95245,0.0,0,2058.99929142643,0
2019,Calveras:,95246,0.0,0,12996.5595326299,0
2019,Calveras:,95249,0.0,0,0,0
2019,Calveras:,95251,0.0,0,0,0
2019,Calveras:,95255,0.0,0,1487.56703097881,0
2019,Calveras:,95257,0.0,0,0,0
2019,Colusa:,95932,52.0568960479378,9.7191209479385,172.192785357886,31.4034542891423
2019,Colusa:,Colusa,15.655,11.935,47.9625,6.26
2019,Colusa:,California,7.9045,7.63075,8.18625,0.1425
2019,Colusa:,95423,0.0,0,0,0
2019,Colusa:,95912,0.0,0,168.770433723478,0
2019,Colusa:,95955,0.0,0,0,0
2019,Colusa:,95970,0.0,0,0,0
2019,Colusa:,95979,0.0,0,0,0
2019,Colusa:,95987,0.0,0,0,0
2019,Contra Costa:,94525,44.2856586013477,4.43413979637506,330.251472945128,33.1608030759773
2019,Contra Costa:,94517,25.2641615938969,3.02214907333424,96.085934263234,17.9343459942358
2019,Contra Costa:,94595,20.4709865191785,2.3327686852831,110.578696138493,14.753022182386
2019,Contra Costa:,94521,17.5917213930897,6.37161980779103,39.0977009261927,7.25688784246673
2019,Contra Costa:,94518,17.2605120850392,5.51963521580724,47.3738167976785,7.80072451806981
2019,Contra Costa:,94526,14.6799956662146,2.4414031575853,52.3358935373433,9.28300825676701
2019,Contra Costa:,94506,14.4688818877249,0.36632037338079,80.6154501440182,14.4688818877249
2019,Contra Costa:,94507,14.1328441904492,0.35781263548568,84.214555339872,14.1328441904492
2019,Contra Costa:,94583,13.3036787622711,3.33012373997956,38.8494073699728,6.97567552260203
2019,Contra Costa:,94563,12.9528409546361,0.32793754014052,80.3762829340492,12.9528409546361
2019,Contra Costa:,94565,12.2076389588381,6.21922257287538,22.4758423153934,3.58861802238878
2019,Contra Costa:,94572,11.2709222867016,0.28535504626056,77.7891317216058,11.2709222867016
2019,Contra Costa:,94804,10.3611441812211,3.33687924463844,27.9059626789764,4.65990497596516
2019,Contra Costa:,94547,10.281654578601,1.9858578553903,37.9355260439714,6.11253561260972
2019,Contra Costa:,94561,9.71650660719349,2.61046938649706,32.2415945953091,4.89795652041431
2019,Contra Costa:,94708,9.32345021308751,0.23604932224604,82.4455006295308,9.32345021308751
2019,Contra Costa:,94509,8.82567988952914,3.15703606589807,20.2660517651594,3.67630423836131
2019,Contra Costa:,94523,8.76752943927434,2.31403637243091,28.4307063184615,4.46461397441152
2019,Contra Costa:,94597,8.03645761772989,0.97222499075541,54.1797806814615,5.68454261188503
2019,Contra Costa:,94519,7.99797972713209,0.82037103433704,45.8654697955147,5.94747221038816
2019,Contra Costa:,California,7.9045,7.63075,8.18625,0.1425
2019,Contra Costa:,Contra Costa,7.86,6.31,9.7,0.8375
2019,Contra Costa:,94801,7.51134454890224,0.86774827927037,33.9214195331167,5.39049629498231
2019,Contra Costa:,94806,6.77078906605503,2.19316209091049,17.121351569253,3.03306247121118
2019,Contra Costa:,94531,6.60297669978225,1.29065608850641,25.0448746606524,3.90506128128679
2019,Contra Costa:,94564,6.54786913798854,0.16577769354185,46.8874843274801,6.54786913798853
2019,Contra Costa:,94553,6.0804351477221,1.5096698099385,19.7968121952664,3.20222802675254
2019,Contra Costa:,94520,5.96118263284318,1.21100367547274,23.4529976362517,3.46534572072999
2019,Contra Costa:,94549,4.34481488912952,0.11000118909026,29.7597916500296,4.34481488912952
2019,Contra Costa:,94513,3.76254906510208,0.45566214727232,14.4790008705672,2.66052395848078
